,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,monthly,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn,job_simp,seniority,descr_length,comp_count
0,Data Scientist,"₹ 9,06,841","Functional Analytics Lead

Job details:
Works as a senior member in various areas of analytics e.g.
Computer Vision or
Service Analytics or
Cyber Analytics or
Will lead multiple data science solution initiatives any of the above functional area
Will lead multiple data science projects or solution initiatives any of the above functional area
Works as a senior member in Data Science projects and coordinate the relationship with clients and manage the deliverables of client projects
Works to design and develop analytical/ data mining/ machine learning/deep learning models as part of data science solutions
Gather, evaluate and document business requirements, translate to data science solution definition, and ability to implement analytics as part of a technology solution
Ability to design and build an end-to-end prototype data science solution to a business problem in any specific sector/ function, more specific to any manufacturing and asset intensive industry domains
Ability to support and guide end-to-end model lifecycle management
Create model documentation as per client/ regulatory standards
Working experience in various AI powered model implementation with NLP, Deep Learning algorithms
Develop Models using open source packages e.g. python and R
Experiences in unstructured text data analysis; language, speech, image and video data analysis across multiple industries e.g. manufacturing, retail, etc.
Gather, evaluate & document business requirements related to analytics, translate to analytics solution definition & ability to implement using Python
Manage team consisting of various skills ranging
Data extraction from Raw files using Python Anaconda or built in for POC
Data pulling or creating from different sources such as HBase, Hive, Impala etc.
Responsible for analyzing data from multiple data sources (DBs, flat files, etc.), and building predictive models using Python.
Scripting with Python and cron jobs to schedule the run (Batch or Real time)
Different models and their performances in Real time and Batch developed using Python (Pandas)/MLib/PySpark and opting the better solution depending on the cases
Validate the models – statistically as well as from business perspective in discussions with business stakeholders
Ability to support and guide model deployment and model lifecycle management
Create model documentation as per client/ regulatory standards

Years of experience – 9 to 12 years

Work location - Bangalore",3.8,"Capgemini
3.8",Bengaluru,"Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,₹500+ billion (INR),"Accenture, CGI, Sopra Steria",0,906841,906841,906841.0,Capgemini,Bengaluru,0,53,1,1,1,0,0,data scientist,na,2462,3
1,Data Scientist,₹221K - ₹238K,"Provide analytical insights into emerging problems, trends and portfolios
Work closely with business partners and stakeholders to determine how to design analysis and measurement approaches that will significantly improve our ability to understand and address emerging business issues
Bringing data to life and making it actionable and relevant to stakeholders through exploratory analysis of internal and external data sources using advanced and innovative analytical techniques, algorithms, and tools
Identifying present or future gaps in the teams existing reporting and tools suite and managing portfolio monitoring, dashboards and reporting
Providing regular updates to leadership, product and other stakeholders that will simplify and clarify complex concepts and the results of analyses effectively with emphasis on the actionable outcomes and impact to business
Experience with standard statistical techniques and tools a plus
Required Qualifications
Bachelor's Degree in a quantitative discipline (Economics, Engineering, Computer Science, Math, Statistics)
1-2 years experience in analytics or management consulting
Proficiency using SQL and querying relational databases
Experience in at least one statistical programming language (SAS, R, Python)
Experience in at least one data visualization tool (Tableau, Qlikview)
Experience with project management
Preferred Skills:
Strong communication skills
Quick learning
Out-of-box Problem Solving",3.4,"PayPal
3.4",Bengaluru,"San Jose, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Square, Amazon, Apple",0,221,238,229.5,PayPal,Bengaluru,0,22,1,1,0,0,0,data scientist,na,1452,3
2,Data Scientist,"₹ 25,38,462","Description

SHIFT: Day Job

SCHEDULE:

Provides programs to improve operational efficiency, consistency, and compliance in support of the organization*s financial and tactical business objectives. Provides business practices and processes. Develops, communicates, and trains the organization on business practices and processes.

Serve as a liaison with other divisions such as Finance, Contracts, HR, Legal, Shared Services, Accounts Receivable, Purchasing, and Risk Management in an effort to ensure accurate and timely transaction processing. Collect, input, verify, correct, and analyze data to measure key performance indicator actual versus business objectives. Provide updates to management regarding budget to actual, informing them of deviations and opportunities. Provide management with economic impact and compliance issues surrounding key business decisions and/or deals. Communicate Oracle Business Practices to the organization and monitor process and approvals for full compliance. Drive implementation of new processes and procedures.

Duties and tasks are standard with some variation. Completes own role largely independently within defined policies and procedures. Attention to detail critical. Ability to collect, organize, and display data in spreadsheet format. Follow-through skills necessary to get information from internal and third parties and have data errors/omissions corrected. Relationship management skills strongly desired. Strong written and verbal communication skills to interact with management and possible clients desired. 2 plus years relevant work experience.

Qualifications

Proficient in writing SQL queries , Extensive knowledge in using Microsoft office tools, Basic Python Skills, Work experience with any BI tools is plus

]]>",3.6,"Oracle
3.6",Hyderabad,"Redwood City, CA",10000+ employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,₹500+ billion (INR),"SAP, Salesforce, Microsoft",0,2538462,2538462,2538462.0,Oracle,Hyderabad,0,43,1,1,0,0,0,data scientist,na,1777,3
3,Data Scientist,"₹ 15,66,457","At Amazon, we strive to be most customer-centric company on the earth. To get there, we need exceptionally talented, bright, dynamic and driven people to develop the next-generation technologies.
Are you champion of innovating on behalf of the customer by turning data insights into action? Do you want to be part of Amazons strategic and highly impactful finance and payroll technology projects? Amazons Finance Automation Payroll Tech team has an opportunity for a seasoned Data Scientist whose experience illustrates a clear ability to create world class machine learning systems to meet long-term Payroll needs.

At Finance Automation, we are passionate about building systems and services that deliver a seamless and transparent finance experience for Amazon partners. We build, operate, and scale systems that are responsible for billions of dollars in transactions, and are central to the success of worldwide finance. We ""think globally, act locally"" to revolutionize a worldwide employee and customer experience and fulfill our promise to pay accurately, on-time, with lowest cost to Amazon.

As a Data Scientist at Finance Automation, you are self-driven leader with extensive experience in applying statistics and data science concepts to bring tangible benefits for global finance operations. Finance and Payroll domain knowledge is a plus but not required.

· Work with finance and payroll stakeholders to understand the organization goals, objectives, and pain points. Identify key areas to drive Machine Learning initiatives, define needle-moving business questions and success criteria.
· Collect and analyze finance, HR, and payroll data across multiple isolated systems. Derive actionable insights from large volumes of heterogeneous data.
· Create reliable and maintainable code to build regression, classification, clustering, and anomaly detection systems. Work closely with software engineers to develop data ingestion and visualization, and productionize your models.
· Partner with finance analysts, and payroll managers to deploy and test machine learning systems with your statistical models at the core. Automate feedback loops, tune, and improve the models in production.
· Train non-tech stakeholders and partners to effectively use your machine learning systems. Set the right expectations on model limitations and prove business value.
· Create and maintain business and technical artifacts such as requirements documentation, use cases, performance evaluation, and model metrics.
· Learn and utilize AWS technologies and Amazon machine learning systems to effectively work with terabytes of data.

Being part of Amazon Finance Automation gives you the opportunity to work in a rapidly growing organization with many high performing global technology teams. Come join us in making history!




Basic Qualifications

· Bachelor's or Masters degree in Statistics, Applied Math, Operations Research, Economics, Engineering or a related quantitative field with 5 years of working experience as a Data Scientist.
· In-depth knowledge on supervised and unsupervised machine learning algorithms including classification, clustering, and regression.
· Experience building productions systems with statistical analysis, data modeling, regression modeling and forecasting, time series analysis, and deep learning neural networks.
· Expertise in coding using one or more programming languages such as R, Python, MATLAB, and Spark to build machine learning models. Skilled in manipulating and processing data using libraries such as Scikit-learn, Pandas, and NumPy. Demonstrated experience in SQL and/or NoSQL data modeling.
· Experience processing, filtering, and presenting large quantities of data. Ability to design for performance, scalability, and availability.
· Excellent communication, analytical and problem-solving skills. Ability to distill informal customer requirements into problem definitions, dealing with ambiguity and competing objectives.
· Obsession with quality, operational excellence, and customer experience. Ability to convey rigorous mathematical concepts and considerations to non-experts.

Preferred Qualifications

· Passion to dive deep to resolve problems at their root, looking for failure patterns amenable to long-term solutions via simplification and automation.
· Experience in AWS is a huge plus. Functional knowledge of AWS platforms such as Sagemaker, S3, Glue, Dynamodb, and RedShift.
· Exposure to finance and payments domain is a plus.
· Deep understanding of data, application, server, and network security.
· Experience with agile or scrum methodology.",4.2,"Amazon
4.2",Hyderabad,"Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,₹500+ billion (INR),"Google, Microsoft, Walmart",0,1566457,1566457,1566457.0,Amazon,Hyderabad,0,26,1,1,1,1,1,data scientist,na,4616,3
4,Data Scientist,"₹ 10,83,817",nan,3.9,"Accenture
3.9",Mumbai,"Dublin, Ireland",10000+ employees,1989,Company - Public,Consulting,Business Services,₹500+ billion (INR),"Cognizant Technology Solutions, EY, McKinsey & Company",0,1083817,1083817,1083817.0,Accenture,Mumbai,0,31,0,0,0,0,0,data scientist,na,3,3
5,Data Scientist,₹417K - ₹451K,"Overview


We have an exciting opportunity for a Data Scientist to join our dynamic AI Development team. This permanent position is well suited to an individual that is looking to advance their career in Python / R / Java Programming and gain hands-on experience in a thriving and supportive workplace.

Responsibilities


Objectives: 
Primary focus on applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.
Ability to manage time and follow guidelines and processes.
Procedures: 
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
 Selecting features, building and optimizing classifiers using machine learning techniques
 Once the data source has been identified, mine and analyse data to drive optimization and improvement of product development, marketing techniques and business strategies.
 Enhancing data collection procedures to include information that is relevant for building analytic systems
 Design and review data collection procedures for regulatory compliance.
 Develop custom data models and algorithms to apply to data sets.
 Present information using data visualization techniques
 Propose solutions and strategies to business challenges
 Collaborate with SAS programming and Statistics teams
 Develop company A/B testing framework and test model quality.
 Develop processes and tools to monitor and analyse model performance and data accuracy.
 Raise awareness with other team on Data Science techniques and approaches.
 Have a good understanding of ICH/GCP guidelines.
 Follow appropriate Project Management procedures.
 Communicate effectively with project team.
Key Contacts/Relationships (Internal & External):

Internal:Work closely with other project team members, mentor and line manager.

External:Under supervision, may have limited interaction with internal clients to complete various programming activities. To fulfil this role, the Data Scientist supported by AI team members, may be required to participate in project team meetings and be responsive on an ad-hoc basis.

Qualifications
Qualified to degree level or equivalent, preferably in a numerate discipline
Good knowledge on statistics.
5 years of experience on Programming / Data Science Industry and minimum 2 year as Data Scientist",4.0,"Quanticate
4.0",Bengaluru,"Hitchin, United Kingdom",201 to 500 employees,1995,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹1 to ₹5 billion (INR),"GCE Solutions, Parexel, IQVIA",0,417,451,434.0,Quanticate,Bengaluru,0,25,1,1,0,0,0,data scientist,na,2405,3
6,Data Scientist,"₹1,744K - ₹1,865K","What You Should Expect

To ride the wave of AI/ML with deeply enmeshed Operations Research and Mathematics to make real impact in the world of Supply Chain Planning, Retail and Execution.

What your work will be

» Develop and operate solutions that optimize and automate business decisions using large data sets and algorithms

» Work with complex data analysis, data preparation and developing prognostic models based on modern statistical methods

» Develop a deep understanding of retail and supply chain problems

» Write productive software that generates value for our customers

Apply if you have

» Good understanding and insight of Machine Learning Techniques – Supervised, Unsupervised or Semi-Supervised

» Passion for writing software with emphasis on quality, testability and automation

» Experience in building machine learning models or optimization software to solve business problems

» Ability to communicate and contextualize results

We believe that the individuality and diversity of our employees make a decisive

contribution to our success. Our hiring process is based on qualifications and career profile.

Our Values

If you want to know the heart of a company, take a look at their values. Ours unite us. They are what drive our success – and the success of our customers. Does your heart beat like ours? Find out here: Core Values

Check out JDA's blog - Supply Chain Nation - the platform for supply chain trends and innovations.",4.3,"Blue Yonder
4.3",Bengaluru,"Scottsdale, AZ",5001 to 10000 employees,1985,Company - Private,Enterprise Software & Network Solutions,Information Technology,₹100 to ₹500 billion (INR),"SAP, Oracle, Manhattan Associates",0,1744,1865,1804.5,Blue Yonder,Bengaluru,0,35,0,1,0,0,0,data scientist,na,1460,3
7,Data Scientist,"₹4,057K - ₹4,480K","Job Title
Data Scientist

20-Jan-2020

No. of Positions
15

Job Description
General Position Definition
Incumbent is responsible for developing analytical models for projects collaborating with different business stakeholders & other partners and working across a range of technologies and tools.
The ideal candidate has strong background in quantitative skills (like statistics, mathematics, advanced computing, machine learning) and has applied those skills in solving real world problems across different businesses / functions.
Purpose
Develops analytics models using specialized tools based on the business problem and data available
Identifies the right set of models and develops the right code / package to execute them
Evaluates the validity of the model (both scientifically as well as from a business perspective)
Support the Data Science Team Lead in design and execution of analytics projects
Work with Shell stakeholders and subject matter experts to complete tasks and deliverables on projects
Skills
Stakeholder Engagement Skills
Working collaboratively across multiple sets of stakeholders – business SMEs, IT, Data teams, Analytics resources, etc. to deliver on project deliverables and tasks
Identify actionable insights that directly address challenges / opportunities
Articulate business insights and recommendations (based on model output) to respective stakeholders
Understanding business KPI's, frameworks and drivers for performance
Proficiency Level: Skill
Industry / Functional Expertise
Provide deep business expertise preferably Oil & Gas - Upstream or Downstream businesses. (If these are not available, willing to consider other industries that are similar or related - manufacturing, mining, power generation, etc.)
functional expertise in any one or more of the following industry / functional areas
Customer / Marketing – pricing analytics, churn prediction, cross-sell / up-sell, Market Basket Analysis, Product Recommendation, Marketing Mix Modeling, Campaign design and effectiveness testing, Network Modeling, Customer segmentation, propensity analysis, customer lifetime value, profitability analysis, Customer experience (incl. voice of customer), CRM, Loyalty program management,
Supply Chain / Spend: Demand & Supply Forecasting, Spend Analytics, Vendor Scoring, Pricing analysis (buy-side), product substitution analysis, product portfolio optimization, Tail spend analysis, logistics / network / route optimization, Contract Compliance
Proficiency Level: Mastery
Modeling and Technology Skills
Deep expertise in machine learning techniques (supervised and unsupervised) statistics / mathematics / operations research including (but not limited to):
Advanced Machine learning techniques: Decision Trees, Neural Networks, Deep Learning, Support Vector Machines, Clustering, Bayesian Networks, Reinforcement Learning, Feature Reduction / engineering, Anomaly deduction, Natural Language Processing (incl. Theme deduction, sentiment analysis, Topic Modeling), Natural Language Generation
Statistics / Mathematics: Data Quality Analysis, Data identification, Hypothesis testing, Univariate / Multivariate Analysis, Cluster Analysis, Classification/PCA, Factor Analysis, Linear Modeling, Logit/Probit Model, Affinity & Association, Time Series, DoE, distribution / probability theory
Operations Research: Sensitivity Analysis – Shadow price, Allowable decrease or increase, Transportation problem & variants, Allocation Problem & variants, Selection problem, Multi-criteria decision-making, models, DEA, Employee Scheduling, Knapsack problem, Supply Chain Problem & variants, Location Selection, Network designing – VRP, TSP, Heuristics Modeling
Strong experience in specialized analytics tools and technologies (including, but not limited to)
Python, Azure Analysis Services
Spotfire, PowerBI
Awareness of Data Bricks, Apache Spark, Hadoop
Awareness of Agile / Scrum ways of working
Identify the right modeling approach(es) for given scenario and articulate why the approach fits
Assess data availability and modeling feasibility
Review interpretation of models results
Evaluate model fit and based on business / function scenario
Proficiency Level: Skill-to-Mastery
Special Challenges
Rapid onboarding on projects, understanding analytics goal and working with ill-defined datasets
Communicating technical jargon in plain English to colleagues within Data Science team and outside
Virtual working with network of colleagues located throughout the globe
Dimensions
Support design and delivery of analytics projects, within or cutting across upstream and downstream business units in Shell


Auto req ID
125016BR

Country of Work Location
India

Company Description
The aim of Shell Business Operations Chennai is to provide the Group with operational excellence through highlighting and utilizing process improvements and functional efficiencies as well as by leveraging economies of scale. Currently, the Chennai centre provides a wide range of finance, accounting and business services to Shell operating companies across several business sectors globally.

Set up in September 2007, the Chennai centre has grown rapidly and now , in its fourth year of operations , it has crossed the 1600 staff mark. The centre is located in the RMZ Millennia Business Park, where the Shell campus is a LEED Platinum building with world class infrastructure. The business is expected to grow further over the next two years and infrastructural additions to support this have been planned.

The main focus in Chennai is on Finance Operations which supports delivery of the global Finance functional plan. There is also a ‘Downstream India’ - Customer Services Team that handles lubricant depot ordering within the country. The Shell Business Operations (SBO Team) manages the centre facilities and supports business partners’ operations on site. There is a strong focus at SBO on safety & well being of staff and on its three core values: Compliance, Intervention & Respect.

Disclaimer
Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date.

Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Royal Dutch/Shell Group companies around the world.

The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand.

Shell is an Equal Opportunity Employer.

Work Location
Chennai - RMZ Millenia

Requirements
5+ years of relevant experience
Advanced university degree in Mathematics, Statistics, Engineering, Economics, Quantitative Finance, OR, etc.
Good interpersonal communication skills and influencing skills
Eagerness to learn and ability to work with limited supervision
SBO Location
Chennai

City, State (if applicable)
Chennai",4.0,"Shell
4.0",Chennai,"Houston, TX",10000+ employees,1907,Company - Public,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",₹500+ billion (INR),"ExxonMobil, BP, Chevron",0,4057,4480,4268.5,Shell,Chennai,0,113,1,1,1,0,1,data scientist,na,7129,3
8,Data Scientist,"₹ 15,08,692","OVERVIEW OF THE COMPANY

StarStar India has defined the Indian media landscape for over two decades and today is one of the country’s leading media conglomerates, reaching approximately 650 million viewers a month across India and more than 100 other countries. Star generates 20,000 hours of content every year and broadcasts 40+ channels in 8 different languages, reaching 9 out of 10 C&S TV homes in India. The network’s entertainment channel portfolio includes Star Gold, Channel V, Star World, Star Movies, Star Utsav, Life OK, Movies OK and Star Plus, India's No. 1 Hindi General Entertainment Channel. It has a leading presence in regional broadcasting as well, through a bouquet of affiliate channels which includes Star Jalsha, Jalsha Movies, Star Pravah, Asianet, Asianet Plus, Suvarna, Suvarna Plus, Vijay and now Maa. It is also present in the Indian movie production and distribution space through Fox Star Studios, an affiliate joint venture company.
JOB DESCRIPTION


KEY RESPONSIBILITIES :
Using techniques from supervised and unsupervised machine learning, statistical analysis and predictive modelling to deliver business insights to business units based on data
Working directly with internal customers to educate them on “moving beyond BI” and training their internal resources to execute advanced forms of analytics
Creating reusable implementations of statistical tests and models using cutting edge technologies
Working with the academic and business community to develop new techniques and to contribute to research in the area of advanced analytics in media
Assisting in engagement management, requirements definition, project scoping, timeline management, and results documentation to ensure professional relationship management
PERFORMANCE MEASURES :
As per role KPIs
QUALIFICATION :
2-8 Years plus post qualification
Degree in computer science with a machine learning focus (other technical degrees also accepted e.g. applied mathematics, statistics, physics, operations research). PhD will be desirable.
KNOWLEDGE AND SKILLS :
Advanced knowledge of statistical and machine learning methods, particularly in the areas of modelling and business analytics
Strong programming skills
Experience with statistical languages and packages, such as R, SAS, Mat-Lab, and/or Mahout
Experience working with relational databases and/or distributed computing platforms, and their query interfaces, such as SQL, MapReduce and Hive.
Experience with additional programming languages, such as Python, Java, and C/C++.
Excellent written and verbal communications skills, with a proven ability to translate complex methodologies and analytical results to higher-level business insights and key take-away
A proven passion for generating insights from data, with a strong familiarity with the higher-level trends in data growth, open-source platforms, and public data sets.
Experience working hands-on with large-scale data sets
Familiarity with visualization software and techniques (including Tableau), and business intelligence (BI) software, such as Micro-strategy, Cognos, Pentaho, etc.
PERSONAL ATTRIBUTES :
Creative, gritty, driven by curiosity and comfortable with failure
Strong Data intuition: Talent to identify and visualize patterns
Multi Modal Communication skills
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, disability, protected veteran status, or any other characteristic protected by law. We will consider for employment qualified applicants with criminal histories consistent with applicable law.",3.9,"Star TV Network
3.9",Mumbai,"Mumbai, India",1001 to 5000 employees,1991,Company - Private,TV Broadcasting & Cable Networks,Media,Unknown / Non-Applicable,-1,0,1508692,1508692,1508692.0,Star TV Network,Mumbai,0,29,1,1,0,0,1,data scientist,na,3665,0
9,Data Scientist,"₹936K - ₹1,084K","Position Title
Data Scientist

02-Apr-2020

Job ID
290387BR

Job Description
•Data Scientist is responsible for the capabilities needed to operate a scientific practice using advanced techniques to understand data and produce insights that are of value to Novartis.
•The role encompasses the full life cycle- from design, implementation and rollout of the solutions.
•The mission is to solve scientific, operational and technical challenges.
•Collaborate in multi-functional teams to evaluate business activities, and then develop innovative and effective approaches to tackle team’s analytics problems and communicate results and methodologies.
•Ability to initiate and drive projects from conception to completion with minimal guidance.
•Innovates and recommends advanced predictive analytics, computational science, Natural Language Processing (NLP), machine learning and deep learning techniques to answer research questions and synthesize insights that achieve business objectives.
•Establishes scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation. Works to translate prototypes into new products, services, and features and provide guidelines for large-scale implementation.
•Ability to build and fine tune algorithms that scale up from small-scale proof-of-concept stage to full production systems
•Build knowledge artifacts of real business problems that were solved with advanced analytics techniques which can be published in journals.
•Excellent quantitative skills and the ability to tell a story using data.

Minimum requirements
•PhD. from top University in Statistics, Operational Research, Computer Science or in a quantitative field. English – fluent spoken and written. Further languages preferred
•2+ years in predictive modeling and large data analysis.
•2+ years' of experience with data querying languages (e.g. SQL), scripting languages (e.g. Python, R, Scala), or deep learning libraries (e.g. tensorflow, pytorch)
•Expertise in atleast some visualization tools such as Qlikview, Spotfire, Tableau (but not limited to these) for designing insights is good to have.
•Strong track record of innovating through machine learning/deep learning algorithms by publishing papers, participating in competitions (e.g. Kaggle).
•Hands on experience with deep learning, data mining, NLP, its concepts, techniques and implementation.
•High ability to solve problems and to structure and simplify complex scenarios and implement and lead digital transformation change.
•Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment.

Why consider Novartis?
750 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

We are Novartis. Join us and help us reimagine medicine.

Job Type
Full Time

Country
India

Work Location
Hyderabad, AP

Functional Area
Information Technology

Division
NBS

Business Unit
IT NBS

Employment Type
Regular

Company/Legal Entity
Nov Hltcr Shared Services Ind

Shift Work
No",3.9,"Novartis
3.9",Hyderabad,"Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹500+ billion (INR),-1,0,936,1084,1010.0,Novartis,Hyderabad,0,24,1,1,0,0,1,data scientist,na,3649,0
